Distance_(pixels),Gray_Value
0,65.9744
1,67.2436
2,67.4316
3,69.6111
4,68.9530
5,71.3889
6,72.9915
7,72.4274
8,72.7821
9,74.5171
10,76.2949
11,76.5427
12,75.6197
13,77.4957
14,79.5641
15,77.8162
16,76.2949
17,78.0726
18,83.0171
19,80.3120
20,80.9786
21,84.0342
22,86.1325
23,86.6410
24,86.4145
25,87.9444
26,89.6367
27,87.6282
28,91.8248
29,92.4786
30,91.8590
31,91.8248
32,88.2350
33,95.1496
34,88.1667
35,96.9786
36,94.7863
37,99.4530
38,98.1068
39,98.9829
40,96.7735
41,96.7521
42,97.0427
43,106.5983
44,104.4487
45,107.1709
46,107.2906
47,106.9829
48,105.1282
49,113.4017
50,113.9017
51,113.5128
52,114.4872
53,117.4744
54,111.6624
55,117.2308
56,118.6453
57,108.9060
58,110.8846
59,119.2607
60,123.8376
61,113.6709
62,124.2009
63,125.8034
64,124.9701
65,130.6795
66,129.8205
67,124.4316
68,123.4444
69,126.1581
70,126.8889
71,129.5897
72,136.0000
73,133.7436
74,129.5171
75,131.2650
76,131.3633
77,131.7863
78,126.0726
79,131.9786
80,133.6624
81,141.8932
82,140.4829
83,129.8803
84,130.6581
85,148.4444
86,132.1154
87,134.1795
88,133.6197
89,142.0470
90,136.2051
91,138.4444
92,139.3462
93,130.0342
94,132.2949
95,136.4487
96,124.0427
97,137.0342
98,137.4145
99,138.5513
100,137.0000
101,133.2308
102,130.2180
103,123.5000
104,129.1795
105,131.2692
106,128.9188
107,127.2863
108,130.2991
109,125.0470
110,131.5256
111,123.7009
112,122.9188
113,124.8205
114,124.6752
115,123.8889
116,114.7949
117,123.2521
118,115.9786
119,119.5470
120,122.7436
121,121.5940
122,117.9017
123,115.7991
124,115.0983
125,111.3803
126,111.8120
127,110.4658
128,107.2949
129,111.1068
130,111.3590
131,105.3120
132,110.1154
133,104.4402
134,103.3462
135,98.0043
136,96.9915
137,102.2821
138,103.6966
139,98.1667
140,99.1197
141,95.2778
142,89.3547
143,95.6709
144,91.1282
145,90.5769
146,92.3162
147,88.5684
148,87.6752
149,84.4103
150,84.5556
151,82.9915
152,82.1154
153,80.7906
154,82.4701
155,81.3248
156,79.8846
157,79.4487
158,80.2479
159,75.8547
160,73.1752
161,74.2265
162,79.0427
163,76.2051
164,73.7393
165,77.7137
166,69.6923
167,68.7521
168,67.3504
169,62.8333
170,69.7650
171,58.8675
172,57.4701
173,60.5897
174,61.7393
175,64.8034
176,64.8120
