Distance_(pixels),Gray_Value
0,79.3512
1,77.7857
2,80.2262
3,76.7381
4,81.5357
5,79.3988
6,82.2857
7,81.5893
8,84.2619
9,84.6607
10,87.2619
11,83.2619
12,90.4107
13,83.8810
14,85.4881
15,85.1012
16,87.9762
17,87.0655
18,88.2857
19,88.6607
20,90.1845
21,89.7381
22,91.2857
23,91.1190
24,92.0119
25,91.5952
26,94.0000
27,91.5179
28,96.2679
29,94.0060
30,95.8929
31,94.4107
32,97.8512
33,94.3571
34,99.0655
35,95.4583
36,100.9881
37,96.7798
38,100.5357
39,99.7262
40,97.8155
41,99.1190
42,103.0774
43,100.2381
44,103.6726
45,99.7321
46,102.8631
47,101.7321
48,99.4345
49,105.4048
50,112.5893
51,107.7560
52,107.4881
53,108.5595
54,105.4286
55,108.9821
56,116.0833
57,112.4464
58,121.6488
59,118.1548
60,118.0179
61,116.0119
62,114.7976
63,121.1369
64,120.9286
65,111.7500
66,121.8095
67,118.1845
68,118.8274
69,122.8690
70,110.6190
71,109.5417
72,125.9643
73,119.0714
74,115.8571
75,115.4405
76,120.9940
77,115.9643
78,115.5774
79,103.0714
80,107.8988
81,116.8869
82,113.6845
83,106.1786
84,115.8393
85,107.8929
86,102.7024
87,108.5417
88,120.0476
89,98.6429
90,117.6488
91,101.0595
92,106.9048
93,111.5952
94,104.1429
95,102.2202
96,106.2857
97,104.9524
98,110.0060
99,110.9048
100,106.2679
101,102.7083
102,101.4643
103,106.5655
104,102.7262
105,101.4821
106,107.0238
107,95.6548
108,97.7560
109,98.9286
110,98.7798
111,98.9524
112,98.8631
113,96.7738
114,95.5536
115,93.4345
116,94.3929
117,94.6012
118,91.3869
119,90.0476
120,88.8929
121,89.8690
122,89.2500
123,89.5417
124,87.4345
125,87.4048
126,87.4167
127,87.5714
128,87.6310
129,85.1190
130,81.5238
131,85.9762
132,77.6369
133,81.1488
134,78.9583
135,76.4405
136,73.3036
