Distance_(pixels),Gray_Value
0,59.063
1,60.878
2,61.926
3,63.153
4,64.122
5,65.365
6,66.693
7,68.000
8,69.307
9,70.672
10,71.540
11,72.212
12,72.603
13,73.190
14,73.439
15,73.915
16,74.556
17,75.545
18,76.249
19,77.556
20,78.212
21,79.328
22,80.286
23,81.095
24,81.746
25,82.328
26,82.587
27,82.931
28,83.048
29,83.101
30,82.979
31,83.286
32,83.847
33,84.534
34,84.884
35,85.915
36,86.524
37,87.513
38,88.439
39,89.540
40,90.460
41,91.365
42,91.831
43,91.889
44,91.735
45,92.201
46,92.429
47,93.063
48,93.614
49,95.063
50,95.979
51,97.106
52,97.577
53,98.550
54,99.095
55,99.688
56,99.926
57,100.286
58,100.381
59,100.280
60,100.302
61,100.508
62,102.344
63,104.884
64,106.423
65,108.354
66,110.720
67,113.243
68,115.153
69,116.698
70,117.016
71,117.683
72,119.365
73,122.111
74,124.323
75,125.370
76,127.063
77,129.508
78,130.926
79,131.683
80,132.984
81,135.603
82,137.968
83,140.275
84,141.333
85,143.545
86,145.889
87,148.593
88,151.492
89,154.630
90,156.624
91,158.011
92,159.148
93,160.180
94,162.249
95,164.561
96,164.889
97,165.122
98,164.582
99,164.386
100,166.503
101,168.772
102,169.164
103,168.767
104,168.730
105,170.201
106,171.222
107,170.720
108,169.693
109,168.831
110,168.534
111,168.825
112,168.725
113,168.450
114,168.333
115,168.540
116,167.434
117,167.280
118,167.159
119,166.349
120,166.196
121,166.661
122,166.672
123,165.534
124,164.397
125,163.577
126,162.995
127,162.582
128,163.233
129,164.376
130,164.222
131,164.280
132,163.746
133,163.794
134,163.720
135,162.286
136,160.042
137,159.196
138,159.508
139,160.286
140,158.709
141,157.439
142,155.243
143,152.407
144,150.349
145,149.291
146,147.899
147,146.434
148,143.328
149,140.735
150,138.265
151,135.974
152,134.063
153,132.275
154,130.302
155,129.725
156,129.344
157,128.772
158,126.503
159,123.074
160,120.603
161,118.910
162,117.222
163,115.228
164,113.042
165,110.233
166,107.519
167,105.577
168,104.677
169,103.275
170,100.841
171,99.333
172,97.101
173,94.603
174,92.497
175,90.603
176,88.952
177,87.825
178,86.624
179,85.889
180,85.190
181,84.228
182,83.302
183,82.233
184,80.984
185,79.582
186,78.280
187,76.847
188,75.317
189,73.984
190,72.550
191,70.730
192,69.053
193,67.989
194,67.757
