Distance_(pixels),Gray_Value
0,94.3212
1,93.5394
2,99.7394
3,100.0545
4,98.8182
5,99.4424
6,94.8727
7,103.3091
8,93.8000
9,102.2000
10,101.3333
11,106.8788
12,104.5576
13,105.2727
14,102.4970
15,102.2485
16,103.2727
17,115.4424
18,116.3697
19,118.8303
20,115.6182
21,113.4909
22,113.3576
23,122.7515
24,122.3697
25,119.9515
26,123.9030
27,128.0485
28,122.1758
29,130.4364
30,131.8485
31,120.8727
32,118.5455
33,127.7939
34,133.3273
35,119.9939
36,138.3212
37,138.6424
38,135.6364
39,145.1455
40,143.1152
41,138.0182
42,135.6182
43,141.1939
44,137.7151
45,142.7576
46,150.8364
47,142.3212
48,143.1879
49,143.6727
50,146.7151
51,147.3818
52,139.7273
53,149.7455
54,148.4788
55,158.1636
56,156.3333
57,142.6061
58,143.3030
59,165.5576
60,144.5636
61,151.4061
62,151.0727
63,160.4485
64,155.0364
65,158.4303
66,157.5455
67,145.4667
68,147.5152
69,151.4545
70,138.0849
71,152.0485
72,156.4606
73,157.4970
74,156.3939
75,151.6788
76,146.7394
77,136.6848
78,145.4545
79,147.2909
80,143.4667
81,139.8242
82,146.4303
83,140.4848
84,149.0000
85,136.4848
86,136.7879
87,139.8000
88,139.7515
89,139.2121
90,126.3273
91,138.2364
92,128.4970
93,132.8121
94,138.2909
95,137.4061
96,131.5515
97,129.1030
98,129.0364
99,122.8121
100,121.8485
101,120.5152
102,118.9030
103,124.6364
104,121.9273
105,116.3758
106,121.9939
107,114.6788
108,114.7030
109,107.1152
110,104.9636
111,111.5818
112,114.4606
113,108.3091
114,108.5576
115,103.5091
116,95.8242
117,104.5576
118,98.1152
