Distance_(pixels),Gray_Value
0,65.1507
1,65.6712
2,66.9361
3,68.4018
4,69.7306
5,70.0776
6,70.8995
7,71.6849
8,73.0228
9,73.9909
10,75.1324
11,75.8493
12,76.4292
13,77.4658
14,77.9087
15,78.1416
16,79.1324
17,80.0228
18,80.9315
19,81.6164
20,82.8539
21,83.1050
22,83.5160
23,84.8447
24,85.8036
25,86.0639
26,87.8174
27,88.9589
28,89.0731
29,89.7215
30,91.2055
31,91.6256
32,91.5434
33,92.7900
34,95.0594
35,95.9269
36,95.5982
37,97.1050
38,98.8493
39,99.2283
40,99.8356
41,101.6621
42,103.7854
43,104.5160
44,103.7854
45,103.5069
46,104.1096
47,104.3379
48,105.0685
49,105.6667
50,106.6119
51,108.3151
52,110.0320
53,109.3562
54,109.9178
55,110.5662
56,112.0000
57,112.9954
58,113.2283
59,113.7945
60,114.2146
61,113.8036
62,112.4521
63,111.7306
64,113.8813
65,116.3333
66,116.3607
67,114.9498
68,112.7534
69,112.2055
70,109.2648
71,108.6347
72,106.5160
73,105.7580
74,106.2237
75,105.1142
76,104.4521
77,103.7534
78,103.7032
79,103.7443
80,100.9909
81,98.8082
82,98.8447
83,97.9543
84,96.5845
85,94.4292
86,93.5069
87,92.8858
88,92.7169
89,93.7945
90,94.3699
91,92.8721
92,92.4201
93,92.0868
94,90.5114
95,88.9224
96,88.3973
97,87.6530
98,87.1507
99,86.0959
100,85.1050
101,83.7260
102,83.1735
103,82.9132
104,82.6986
105,82.0639
106,82.1735
107,82.3105
108,83.1690
109,82.4201
110,81.3790
111,80.2055
112,78.9224
113,77.2740
114,76.0320
115,74.9315
